Time,Pos 1,Pos 2,Pos 3,Pos 4,Pos 5,Pos 6,Pos 7,Pos 8,Pos 9,Pos 10,Pos 11,Pos 12,Pos 13,Pos 14,Pos 15,Pos 16,Ave. Thickness, Std., Max., Min., OD, ID, Roundness,
2018/3/6 09:37,2.822,2.948,3.047,3.022,3.022,3.132,2.924,2.902,3.016,2.83,3.092,3.041,2.981,2.968,2.94,3.129,2.989,0.09,3.132,2.822,22.08,16.136,0.513, 
2018/3/6 09:37, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,1.755, NA, NA, NA, NA,1.489,1.622,0.133,1.755,1.489,20.299,16.688,0.695, 
2018/3/6 09:37,19.116, NA,16.965,10.753, NA, NA,10.957,20.051, NA,16.148,13.35,3.109, NA,12.481,15.944,14.201,13.916,4.483,20.051,3.109,21.305,14.404,0.601, 
2018/3/6 09:38,16.207,16.457,18.759,16.552, NA,10.425,16.434,16.953, NA,18.996,10.696,18.603,17.209,17.25,21.255,11.991,16.271,3.046,21.255,10.425,23.108,16.719,0.603, 
2018/3/6 09:47, NA, NA, NA, NA, NA, NA, NA, NA,6.046,4.649,7.418, NA, NA, NA,5.614,7.194,6.184,1.024,7.418,4.649,21.299,15.047,0.473, 
2018/3/6 09:47,18.743, NA,15.939,10.028,9.254, NA,11.969,18.704, NA,15.542,13.71, NA, NA,12.84,15.067,14.586,14.217,2.948,18.743,9.254,21.172,14.904,0.709, 
2018/3/6 09:47, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, ?žæ•¸?? Std.,0,1000,20.36,16.27,0.705,,
2018/3/6 09:47,19.542, NA,15.81,9.948,9.451, NA,11.906,18.895, NA,16.346,13.684, NA, NA,12.728,15.752,14.635,14.427,3.135,19.542,9.451,21.315,15.093,0.648, 
2018/3/6 09:48, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,1.202, NA, NA,1.244, NA,1.222,1.223,0.017,1.244,1.202,20.38,16.27,0.672, 
2018/3/6 09:48, NA,17.325, NA,15.613,13.656,12.233,16.749, NA, NA, NA,15.209,5.264,6.911,13.702, NA,15.739,13.24,3.871,17.325,5.264,21.36,17.624,0.708, 
2018/3/6 09:48, NA,2.207, NA, NA, NA, NA,2.207, NA,6.293,5.324,8.016, NA, NA, NA, NA,7.196,5.207,2.275,8.016,2.207,21.055,14.767,0.505, 
2018/3/6 09:48,3.122,2.956,3.017,2.812,2.901,2.958,2.862,3.005,2.98,3.162,2.992,3.023,2.966,3.057,3.082,2.981,2.992,0.087,3.162,2.812,21.993,16.024,0.438, 
2018/3/6 09:49, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA, NA,1.234, NA, NA,1.234,0,1.234,1.234,20.356,16.269,0.662, 
2018/3/6 09:49,3.049,2.8,3.007,2.805,2.991,3.055,2.744,3.04,2.944,2.985,2.941,3.084,3.074,3.006,3.029,3.028,2.974,0.1,3.084,2.744,22.037,16.111,0.483, 
2018/3/6 09:55,4.551,14.386, NA,14.084,13.156,11.182,14.577,4.532,13.677,4.542,10.486,4.746,4.737,4.634, NA,11.987,9.377,4.259,14.577,4.532,22.963,14.797,0.665, 
2018/3/6 09:58,2.842,2.883,2.885,2.931,2.952,2.961,2.884,2.849,2.779,2.861,2.73,2.889,2.731,2.725,2.953,2.736,2.849,0.082,2.961,2.725,21.937,16.248,0.294, 
2018/3/6 09:58, NA,5.215, NA,3.36, NA, NA,4.314, NA,6.175, NA, NA,2.395, NA, NA,2.402, NA,3.977,1.405,6.175,2.395,22.844,16.366,0.462, 
